modelo;imagem;confidence;x;y;largura;altura;tempo_ms
smartfirewatch_modelo_2/1;22.jpg;0.7826261520385742;615;799;76;90;555
smartfirewatch_modelo_2/1;23.jpg;0.7119831442832947;540.5;873;95;140;556
smartfirewatch_modelo_2/1;24.jpg;0.8762220144271851;538.5;879.5;75;143;462
smartfirewatch_modelo_2/1;25.jpg;0.8178809285163879;669.5;885.5;67;135;513
smartfirewatch_modelo_2/1;26.jpg;0.5432046055793762;612;723;116;136;516
smartfirewatch_modelo_2/1;27.jpg;0.7979059815406799;618.5;725;161;150;524
smartfirewatch_modelo_2/1;28.jpg;0.8071142435073853;629;732;158;162;506
smartfirewatch_modelo_2/1;29.jpg;0.7443987727165222;623.5;725.5;129;115;484
smartfirewatch_modelo_2/1;3.jpg;0.18455243110656738;731;684.5;38;119;3580
smartfirewatch_modelo_2/1;30.jpg;0.783678412437439;612;736.5;98;103;670
smartfirewatch_modelo_2/1;31.jpg;0.818528950214386;613.5;743.5;105;105;1177
smartfirewatch_modelo_2/1;32.jpg;0.4975094795227051;620;697.5;116;167;1853
smartfirewatch_modelo_2/1;33.jpg;0.6982930898666382;609.5;658.5;151;267;616
smartfirewatch_modelo_2/1;34.jpg;0.7818834781646729;602.5;667.5;163;253;665
smartfirewatch_modelo_2/1;35.jpg;0.783442497253418;606;701;144;192;576
smartfirewatch_modelo_2/1;36.jpg;0.8369216322898865;604;694;126;198;510
smartfirewatch_modelo_2/1;37.jpg;0.8109620213508606;566.5;692;289;234;644
smartfirewatch_modelo_2/1;38.jpg;0.8170915842056274;567;694.5;274;293;548
smartfirewatch_modelo_2/1;39.jpg;0.8243269324302673;563;708.5;332;295;482
smartfirewatch_modelo_2/1;4.jpg;0.7618667483329773;690;665.5;144;227;1245
smartfirewatch_modelo_2/1;40.jpg;0.8143667578697205;565.5;711;305;258;512
smartfirewatch_modelo_2/1;41.jpg;0.8120854496955872;566;711;286;250;3308
smartfirewatch_modelo_2/1;42.jpg;0.8109620213508606;566.5;692;289;234;2387
smartfirewatch_modelo_2/1;43.jpg;0.8170915842056274;567;694.5;274;293;32894
smartfirewatch_modelo_2/1;44.jpg;0.8243269324302673;563;708.5;332;295;2317
smartfirewatch_modelo_2/1;45.jpg;0.8143667578697205;565.5;711;305;258;1126
smartfirewatch_modelo_2/1;5.jpg;0.7769590616226196;674.5;684;141;172;867
smartfirewatch_modelo_2/1;69.jpg;0.7934841513633728;543;705;282;244;877
smartfirewatch_modelo_2/1;7.jpg;0.576062023639679;640.5;687;53;94;4962
smartfirewatch_modelo_2/1;70.jpg;0.7683191299438477;540;712;226;192;590
smartfirewatch_modelo_2/1;71.jpg;0.8163841962814331;534.5;720.5;219;169;614
smartfirewatch_modelo_2/1;72.jpg;0.8225475549697876;546;719.5;210;165;524
smartfirewatch_modelo_2/1;73.jpg;0.8103786706924438;533;720;180;134;
smartfirewatch_modelo_2/1;8.jpg;0.22936666011810303;634;684.5;66;107;1930
smartfirewatch_modelo_2/1;9.jpg;0.7599968314170837;637.5;685;53;98;499
smartfirewatch_modelo_3/1;1.jpg;0.7522404789924622;712.5;681.5;145;167;3272
smartfirewatch_modelo_3/1;10.jpg;0.43022286891937256;634.5;688.5;47;83;495
smartfirewatch_modelo_3/1;11.jpg;0.15444272756576538;604.5;703;69;114;591
smartfirewatch_modelo_3/1;12.jpg;0.7717403769493103;694;683;116;142;888
smartfirewatch_modelo_3/1;13.jpg;0.8536754846572876;683;649.5;148;213;602
smartfirewatch_modelo_3/1;14.jpg;0.8382948637008667;696;668.5;138;189;547
smartfirewatch_modelo_3/1;15.jpg;0.8148802518844604;680.5;679.5;135;185;5662
smartfirewatch_modelo_3/1;16.jpg;0.7522404789924622;712.5;681.5;145;167;538
smartfirewatch_modelo_3/1;17.jpg;0.7017581462860107;570.5;750;83;108;1827
smartfirewatch_modelo_3/1;18.jpg;0.7261844277381897;553;809;82;90;38475
smartfirewatch_modelo_3/1;19.jpg;0.6939389705657959;544;798.5;152;191;3149
smartfirewatch_modelo_3/1;2.jpg;0.8382948637008667;696;668.5;138;189;1993
smartfirewatch_modelo_3/1;20.jpg;0.7976096272468567;540;605.5;252;319;575
smartfirewatch_modelo_3/1;21.jpg;0.7977269887924194;544.5;605;269;384;600
smartfirewatch_modelo_3/1;22.jpg;0.5663487911224365;625;801;68;98;572
smartfirewatch_modelo_3/1;23.jpg;0.6446614861488342;538.5;871;101;132;1162
smartfirewatch_modelo_3/1;24.jpg;0.7266713380813599;537.5;879.5;75;145;677
smartfirewatch_modelo_3/1;25.jpg;0.6544186472892761;668;883;90;160;2537
smartfirewatch_modelo_3/1;26.jpg;0.7573197484016418;607.5;724.5;131;133;2426
smartfirewatch_modelo_3/1;27.jpg;0.7808730602264404;616.5;726.5;157;151;2999
smartfirewatch_modelo_3/1;28.jpg;0.8036187291145325;625.5;727.5;165;153;544
smartfirewatch_modelo_3/1;29.jpg;0.7846951484680176;618.5;731;147;136;1801
smartfirewatch_modelo_3/1;3.jpg;0.7717403769493103;694;683;116;142;2201
smartfirewatch_modelo_3/1;30.jpg;0.8053566813468933;612.5;736.5;111;117;602
smartfirewatch_modelo_3/1;31.jpg;0.7889178991317749;616;741;108;110;702
smartfirewatch_modelo_3/1;32.jpg;0.7786976099014282;611.5;707;131;172;1543
smartfirewatch_modelo_3/1;33.jpg;0.8214642405509949;605;672;134;242;525
smartfirewatch_modelo_3/1;34.jpg;0.785082995891571;604;659.5;166;283;962
smartfirewatch_modelo_3/1;35.jpg;0.8481035828590393;608;702;162;206;48363
smartfirewatch_modelo_3/1;36.jpg;0.8092826008796692;607;698;138;208;4573
smartfirewatch_modelo_3/1;37.jpg;0.7865007519721985;574.5;694.5;261;213;769
smartfirewatch_modelo_3/1;38.jpg;0.7781288027763367;574.5;689.5;277;265;3160
smartfirewatch_modelo_3/1;39.jpg;0.7838618159294128;562.5;710.5;335;291;3613
smartfirewatch_modelo_3/1;4.jpg;0.8536754846572876;683;649.5;148;213;2886
smartfirewatch_modelo_3/1;40.jpg;0.7841981649398804;572.5;705.5;303;253;505
smartfirewatch_modelo_3/1;41.jpg;0.7874981760978699;576.5;708.5;279;231;1747
smartfirewatch_modelo_3/1;42.jpg;0.7865007519721985;574.5;694.5;261;213;1731
smartfirewatch_modelo_3/1;43.jpg;0.7781288027763367;574.5;689.5;277;265;2905
smartfirewatch_modelo_3/1;44.jpg;0.7838618159294128;562.5;710.5;335;291;2349
smartfirewatch_modelo_3/1;45.jpg;0.7841981649398804;572.5;705.5;303;253;1441
smartfirewatch_modelo_3/1;5.jpg;0.8148802518844604;680.5;679.5;135;185;1002
smartfirewatch_modelo_3/1;55.jpg;0.09118211269378662;3102.5;532.5;263;137;1696
smartfirewatch_modelo_3/1;57.jpg;0.19749802350997925;2012.5;963;331;216;2008
smartfirewatch_modelo_3/1;58.jpg;0.39650440216064453;2610.5;919.5;2481;1661;2115
smartfirewatch_modelo_3/1;60.jpg;0.2855398654937744;2516;1045;296;182;2226
smartfirewatch_modelo_3/1;61.jpg;0.3997876048088074;2939;685.5;326;217;2078
smartfirewatch_modelo_3/1;63.jpg;0.31513214111328125;2690.5;1081.5;401;183;1713
smartfirewatch_modelo_3/1;64.jpg;0.23392152786254883;2327.5;1138;491;144;2241
